Name,ID,Zip,County,Address,Latitude,Longitude
1396194,ec347cbp,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1555049,ec3x2shg,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1564647,ec3up5n1,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1555657,ec3z3b3r,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1176858,ec3dwtz7,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1584102,ec3dzph1,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1555050,ec3b6h2e,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
3000 psi fly ash flowable performance mix,ec3wry2h,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1586812,ec3wgy2b,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1581807,ec3hq6mu,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
4000 psi fly ash flowable performance mix,ec3kqhf9,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1556313,ec3eycwt,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
AUSTIN 3000 PSI CUSTOM FLOOR MIX,ec3f6tx6,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
"CCS 3,000 PSI CUSTOM FLOOR MIX",ec390qdz,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
5000psi 0.45 W/C 20% Fly Ash,ec3a7b0c,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
5000 psi FLY ASH AIR FLOWABLE,ec3gruax,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
"5000 PSI FLY ASH FLOWABLE 3/8"" GRAVEL",ec3tsy08,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
4000psi 0.50 W/C 22% Fly Ash Flowable,ec3rbh1z,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
MAG A 3000 STANDARD,ec3g1jfu,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
MAG AA 4000 STANDARD,ec3qdb53,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
Elite Sports 4000 .45 25% Ash,ec3g21rh,85215,Maricopa County,"3666 N Higley Rd, Mesa, AZ 85215, USA",33.4827127,-111.7187385
1623248,ec35wap1,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623251,ec3zasyg,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623257,ec3yafwa,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623256,ec3g97w2,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623253,ec3kjhgf,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623255,ec32kxuq,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623259,ec3271b3,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623826,ec3bf8wj,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623837,ec3cjfyj,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1623937,ec3y1k25,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1624022,ec31wgks,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1624037,ec3b3k21,85248,Maricopa County,"4500 S Dobson Rd, Chandler, AZ 85248, USA",33.2414138,-111.8807648
1618460,ec3m6qbq,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
160028,ec3e769j,85756,Pima County,"9301 S Swan Rd, Tucson, AZ 85756, USA",32.082402,-110.8885642
P80257F1,ec3pj10x,85756,Pima County,"9301 S Swan Rd, Tucson, AZ 85756, USA",32.082402,-110.8885642
#8 3000psi ASH EXP STD,ec3td7bm,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
#8 4000 ASH FLOW GRTPUMPCONC,ec3tetfb,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
#8 4000psi AIR ASH SHOTCRETE,ec3jre19,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1552285,ec30ekwp,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1377890,ec3wssjb,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1555049,ec3dxnnq,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1555050,ec30fuxj,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1547309,ec3uby4g,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1555657,ec3xea5b,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1555656,ec3czu7g,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1578284,ec3a17qf,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1555658,ec3xsf33,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1586812,ec3xmy63,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1581372,ec3qe50p,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1588397,ec3d8g95,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1594155,ec3t5pnf,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1599917,ec3s60x5,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1600922,ec3qxb4e,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1602069,ec3zf613,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
3000 psi fly ash flowable LRC,ec33cjzk,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
"4000 ASH 40% 1/2"" FLOW",ec35ujau,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
4500 HVFA .45 W/C FLOW,ec3u8fkn,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
4000 psi fly ash flowable performance mix,ec3ea11p,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
5000psi 0.45 W/C 20% Fly Ash,ec3pc7nw,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
4000psi 0.50 W/C 22% Fly Ash Flowable,ec37dqcq,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
MAG A 3000 STANDARD,ec30entp,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
1618460,ec3c5zng,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
Elite Sports 4000 .45 25% Ash,ec364a38,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
3000 psi fly ash flowable performance mix,ec3f8ww1,85138,Pinal County,"23441 N Maricopa Rd, Maricopa, AZ 85138, USA",33.0748079,-112.0428304
Steel Concrete Reinforcing Bar and Merchant Bar Products (average),ec34dq8h,,,,,
1571046,ec3661q7,85714,Pima County,"4100 E Columbia St, Tucson, AZ 85714, USA",32.1731732,-110.9041412
1571048,ec3qze29,85653,Pima County,"11500 Calmat Dr, Marana, AZ 85653, USA",32.4168607,-111.1609722
1571048,ec3quuzm,85714,Pima County,"4100 E Columbia St, Tucson, AZ 85714, USA",32.1731732,-110.9041412
Fabricated Concrete Reinforcing Bar and Merchant Bar,ec3mfbpd,,,,,
1618210,ec31sa19,85024,Maricopa County,"23210 N 7th St, Phoenix, AZ 85024, USA",33.6943411,-112.0655012
1377890,ec3r1u0m,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1332842,ec3f6p7d,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1332854,ec3thjpg,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
1393782,ec3fer7a,85756,Pima County,"13599 S Old Nogales Hwy, Tucson, AZ 85756, USA",32.0126733,-110.9363227
