Name,ID,Zip,County,Address,Latitude,Longitude
321HD168,ec3mrxb4,72703,Washington County,"755 E Millsap Rd, Fayetteville, AR 72703, USA",36.1143097,-94.14645569999999
335C3505,ec3kytgs,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335PP521,ec319ppn,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
330RS500,ec3mmx9t,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
335PP621,ec3fm6rz,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
330RS500,ec3cj48p,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
340PP601,ec37bh4w,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
335RS600,ec3a2dtz,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
335RS6SL,ec36k99a,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
340CP501,ec3kz16x,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
330C3060,ec3ugrzs,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
330C3062,ec3buc6m,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
335C3505,ec3qprfa,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
335C3552,ec3epj8p,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
335C3560,ec3x5gsf,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
335C3562,ec312k8r,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
335C3563,ec3axtda,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
345C4506,ec3wpzr1,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
350C5007,ec3xf84w,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
330RP5AE,ec30nndh,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
335CS600,ec3469n7,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
335PS620,ec3y6at1,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
335RP601,ec35f2f2,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
335RP6AE,ec34m9yt,72916,Sebastian County,"15120 Hwy 71, Fort Smith, AR 72916, USA",35.2405911,-94.3344587
330C3050,ec3ubqwj,72958,Scott County,"765 Willow St, Waldron, AR 72958, USA",34.90785109999999,-94.0886431
321HD168,ec3nby4c,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
330C3050,ec3y2pa1,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
330F3059,ec3sw35g,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
330F3060,ec333mqg,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
330F3061,ec3b23q1,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
330F3069,ec32gfst,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
335F3575,ec3wkeu6,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
335F357501,ec37rz6n,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
340F407501,ec3678qf,72764,Benton County,"4888 N Oak St, Springdale, AR 72764, USA",36.22792159999999,-94.1249579
340F4075,ec3fzn8t,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335C3562,ec3whsrg,72903,Sebastian County,"5473 S Zero St #5431, Fort Smith, AR 72903, USA",35.3274791,-94.374693
335PP501,ec3tedfw,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
345PP521,ec3ckp3c,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
355PP601,ec398pdb,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
330PP501,ec3e8wdt,72740,Madison County,"383 N Parrott Dr, Huntsville, AR 72740, USA",36.0896607,-93.7310881
340PS600,ec37sp8t,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
330RP501,ec3bx4ep,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
330PP501,ec32pk0c,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
350PS500,ec3xxmn4,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
335PP601,ec32scm0,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
340PP601,ec3f0mfj,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
330PP501,ec3x5uj7,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
330PS500,ec3wh077,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
330RP501,ec3unrm3,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
330RS500,ec3y5nh0,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
PVC-coated conduit Heavy products LRELL31/2X36SA-G,ec3zhmpc,72401,Craighead County,"W Highland Dr, Jonesboro, AR 72401, USA",35.8207297,-90.7135551
340PP521,ec3q9qwn,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
340PS600,ec39jnsk,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
345PP501,ec3y0te0,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
330PS500,ec34xmyy,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
340P8801,ec3zsszq,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
Cross-laminated Timber (CLT),ec3ghhsf,72034,Faulkner County,"1800 Sturgis Rd, Conway, AR 72034, USA",35.0448443,-92.4222609
330RS500,ec3zc7j8,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
335PP501,ec38rem1,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
330RP501,ec3ztk9b,72701,Washington County,"1332 Cato Springs Rd, Fayetteville, AR 72701, USA",36.041709,-94.17992869999999
355PP626,ec3br1jr,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
Rebar,ec31q98c,,,,,
330PP501,ec3w4ws1,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
Fabricated Hollow Structural Sections,ec3trb6q,72315,Mississippi County,"5661 E State Hwy 137, Blytheville, AR 72315, USA",35.9438769,-89.7845912
Primary Structural Steel Frame Components,ec31zw5h,,,,,
330PP501,ec3cbfem,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
340PP621,ec3cjp1f,72713,Benton County,"1349 Kimmel Rd, Centerton, AR 72713, USA",36.3505692,-94.26339899999999
340PP501,ec3adga8,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
340PS500,ec3fgrtx,72764,Benton County,"4530 N Oak St, Springdale, AR 72764, USA",36.2263728,-94.1249198
330PP501,ec3t35jj,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
330RP501,ec34p8q6,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
330PS500,ec33eb48,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
330PS515,ec39bx18,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
330RP501,ec3dkph6,72761,Benton County,"2205 Waukesha Rd, Siloam Springs, AR 72761, USA",36.1681935,-94.52012719999999
345CX500,ec3m0zrn,72756,Benton County,"2496 W Hudson Rd, Rogers, AR 72756, USA",36.3540922,-94.1540268
